ID задачи,ID заказа,Клиент,Направление,Задача,Ответственный,Статус,Срок,Комментарий
1,2,Петров Сергей,Плечи,Заготовка дуг,Александр Садовников,В работе,15.05.2025,
2,2,Петров Сергей,Плечи,Заготовка тетивы,Юрий Самойлов,Не начато,18.05.2025,
3,2,Петров Сергей,Плечи,Крепление тетивы к дуге,Александр Садовников,Не начато,20.05.2025,
4,2,Петров Сергей,Железо,Изготовление ореха,Владислав Домбровский,В работе,14.05.2025,
5,2,Петров Сергей,Железо,Изготовление ручки,Юрий Плотников,Не начато,16.05.2025,
6,2,Петров Сергей,Железо,Изготовление креплений плеч,Кирилл Хрусталёв,Не начато,17.05.2025,
7,2,Петров Сергей,Железо,Монтаж деталей,Владислав Домбровский,Не начато,22.05.2025,
8,2,Петров Сергей,Дерево,Распиливание заготовки,Александр Авраменко,Выполнено,10.05.2025,
9,2,Петров Сергей,Дерево,Фигурная резка,Иван Тимофеев,В работе,13.05.2025,
10,2,Петров Сергей,Дерево,Фрезеровка,Павел Стаханов,Не начато,16.05.2025,
11,2,Петров Сергей,Дерево,Склейка,Александр Авраменко,Не начато,18.05.2025,
12,2,Петров Сергей,Дерево,Покрытие морилкой,Иван Тимофеев,Не начато,25.05.2025,
13,4,Козлов Дмитрий,Броня,Разметка и раскрой листов кирасы,Роман Белов,Выполнено,12.05.2025,
14,4,Козлов Дмитрий,Броня,Формовка нагрудной пластины,Роман Белов,В работе,20.05.2025,
15,4,Козлов Дмитрий,Броня,Формовка наспинной пластины,Роман Белов,Не начато,25.05.2025,
16,4,Козлов Дмитрий,Броня,Сверловка и клёпка деталей кирасы,Антон Горелов,Не начато,01.06.2025,
17,4,Козлов Дмитрий,Броня,Изготовление кожаной подкладки,Антон Горелов,Не начато,05.06.2025,
18,4,Козлов Дмитрий,Броня,Шлифовка и полировка кирасы,Роман Белов,Не начато,08.06.2025,
19,4,Козлов Дмитрий,Броня,Воронение / финальная отделка,Роман Белов,Не начато,12.06.2025,
20,4,Козлов Дмитрий,Броня,Разметка и раскрой листов наручей,Антон Горелов,В работе,15.05.2025,
21,4,Козлов Дмитрий,Броня,Формовка наручей и поножей,Антон Горелов,Не начато,22.05.2025,
22,4,Козлов Дмитрий,Броня,Установка ремней и пряжек,Антон Горелов,Не начато,28.05.2025,
23,5,Вершинина Ольга,Броня,Разметка и раскрой купола шлема,Роман Белов,Не начато,20.05.2025,
24,5,Вершинина Ольга,Броня,Формовка купола бацинета,Роман Белов,Не начато,28.05.2025,
25,5,Вершинина Ольга,Броня,Изготовление забрала,Антон Горелов,Не начато,05.06.2025,
26,5,Вершинина Ольга,Броня,Плетение бармицы (кольчуга),Антон Горелов,Не начато,10.06.2025,Кольца 8мм нерж.
27,5,Вершинина Ольга,Броня,Сборка шлема — забрало + бармица,Роман Белов,Не начато,18.06.2025,
28,5,Вершинина Ольга,Броня,Шлифовка полировка и гравировка,Роман Белов,Не начато,25.06.2025,Гравировка по согласованию
